datetime,total_kw
2024-10-16 15:15:00,564.58
2024-10-16 15:30:00,572.004
2024-10-16 15:45:00,574.076
2024-10-16 16:00:00,602.44
2024-10-16 16:15:00,628.872
2024-10-16 16:30:00,653.36
2024-10-16 16:45:00,668.616
2024-10-16 17:00:00,662.46
2024-10-16 17:15:00,677.632
2024-10-16 17:30:00,686.388
2024-10-16 17:45:00,700.204
2024-10-16 18:00:00,712.476
2024-10-16 18:15:00,735.888
2024-10-16 18:30:00,749.076
2024-10-16 18:45:00,742.796
2024-10-16 19:00:00,746.936
2024-10-16 19:15:00,781.916
2024-10-16 19:30:00,777.684
2024-10-16 19:45:00,759.92
2024-10-16 20:00:00,779.54
2024-10-16 20:15:00,754.556
2024-10-16 20:30:00,767.896
2024-10-16 20:45:00,772.856
2024-10-16 21:00:00,767.936
2024-10-16 21:15:00,749.992
2024-10-16 21:30:00,736.568
2024-10-16 21:45:00,735.648
2024-10-16 22:00:00,711.148
2024-10-16 22:15:00,704.652
2024-10-16 22:30:00,681.224
2024-10-16 22:45:00,668.924
2024-10-16 23:00:00,619.036
2024-10-16 23:15:00,611.144
2024-10-16 23:30:00,615.588
2024-10-16 23:45:00,574.872
2024-10-17 00:00:00,543.612
2024-10-17 00:15:00,524.736
2024-10-17 00:30:00,511.424
2024-10-17 00:45:00,480.336
2024-10-17 01:00:00,482.572
2024-10-17 01:15:00,468.156
2024-10-17 01:30:00,449.296
2024-10-17 01:45:00,436.212
2024-10-17 02:00:00,430.764
2024-10-17 02:15:00,412.24
2024-10-17 02:30:00,401.52
2024-10-17 02:45:00,391.468
2024-10-17 03:00:00,388.508
2024-10-17 03:15:00,384.924
2024-10-17 03:30:00,370.372
2024-10-17 03:45:00,368.796
2024-10-17 04:00:00,386.752
2024-10-17 04:15:00,358.936
2024-10-17 04:30:00,358.916
2024-10-17 04:45:00,352.312
2024-10-17 05:00:00,357.928
2024-10-17 05:15:00,364.632
2024-10-17 05:30:00,358.264
2024-10-17 05:45:00,365.556
2024-10-17 06:00:00,371.9
2024-10-17 06:15:00,372.68
2024-10-17 06:30:00,380.916
2024-10-17 06:45:00,389.144
2024-10-17 07:00:00,393.196
2024-10-17 07:15:00,387.064
2024-10-17 07:30:00,395.004
2024-10-17 07:45:00,411.644
2024-10-17 08:00:00,420.552
2024-10-17 08:15:00,436.532
2024-10-17 08:30:00,440.648
2024-10-17 08:45:00,447.468
2024-10-17 09:00:00,448.12
2024-10-17 09:15:00,461.132
2024-10-17 09:30:00,454.296
2024-10-17 09:45:00,439.028
2024-10-17 10:00:00,446.72
2024-10-17 10:15:00,454.904
2024-10-17 10:30:00,441.864
2024-10-17 10:45:00,447.692
2024-10-17 11:00:00,457.824
2024-10-17 11:15:00,501.272
2024-10-17 11:30:00,501.308
2024-10-17 11:45:00,507.58
2024-10-17 12:00:00,519.548
2024-10-17 12:15:00,516.028
2024-10-17 12:30:00,519.396
2024-10-17 12:45:00,521.0600000000001
2024-10-17 13:00:00,508.76
2024-10-17 13:15:00,499.004
2024-10-17 13:30:00,491.464
2024-10-17 13:45:00,510.056
2024-10-17 14:00:00,508.388
2024-10-17 14:15:00,513.464
2024-10-17 14:30:00,499.264
2024-10-17 14:45:00,509.0
2024-10-17 15:00:00,521.2
2024-10-17 15:15:00,527.812
2024-10-17 15:30:00,508.896
2024-10-17 15:45:00,501.376
2024-10-17 16:00:00,544.416
2024-10-17 16:15:00,540.276
2024-10-17 16:30:00,550.564
2024-10-17 16:45:00,587.368
2024-10-17 17:00:00,594.904
2024-10-17 17:15:00,608.984
2024-10-17 17:30:00,634.436
2024-10-17 17:45:00,654.284
2024-10-17 18:00:00,659.616
2024-10-17 18:15:00,686.46
2024-10-17 18:30:00,694.384
2024-10-17 18:45:00,676.776
2024-10-17 19:00:00,689.384
2024-10-17 19:15:00,681.924
2024-10-17 19:30:00,674.448
2024-10-17 19:45:00,674.2
2024-10-17 20:00:00,664.692
2024-10-17 20:15:00,649.248
2024-10-17 20:30:00,664.052
2024-10-17 20:45:00,660.96
2024-10-17 21:00:00,652.688
2024-10-17 21:15:00,642.46
2024-10-17 21:30:00,640.344
2024-10-17 21:45:00,647.448
2024-10-17 22:00:00,641.408
2024-10-17 22:15:00,630.2
2024-10-17 22:30:00,602.012
2024-10-17 22:45:00,558.144
2024-10-17 23:00:00,527.204
2024-10-17 23:15:00,523.48
2024-10-17 23:30:00,505.088
2024-10-17 23:45:00,496.568
2024-10-18 00:00:00,474.776
2024-10-18 00:15:00,459.82
2024-10-18 00:30:00,438.8
2024-10-18 00:45:00,422.492
2024-10-18 01:00:00,413.66
2024-10-18 01:15:00,386.984
2024-10-18 01:30:00,372.032
2024-10-18 01:45:00,353.452
2024-10-18 02:00:00,355.508
2024-10-18 02:15:00,347.488
2024-10-18 02:30:00,337.628
2024-10-18 02:45:00,348.668
2024-10-18 03:00:00,340.272
2024-10-18 03:15:00,325.872
2024-10-18 03:30:00,318.188
2024-10-18 03:45:00,321.12
